address,first_price,last_price,apy,seven_day_apy,thirty_day_apy,price_change_pct
0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,105581.59243224,107101.14190955,19.718745308741205,191.8256282314322,17.522481390989277,1.4392181840648277
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,105507.32871472,107007.57301135,19.462075288892542,190.68733465195592,17.312043185983935,1.4219337319083314
0x18084fbA666a33d37592fA2633fD49a74DD93a88,105613.09305482,106856.11190142,15.878256030500904,188.92355639239625,14.329430205684435,1.1769552530336291
0xF7DE3c70F2db39a188A81052d2f3C8e3e217822a,1.03947658434499,1.0455479615007,7.610699433146628,6.526216306004579,7.1111767195167515,0.5840802233689324
0x81f78DeF7a3a8B0F6aABa69925efC69E70239D95,1.0534096803594426,1.0584231810745137,6.162469631523337,8.575466017824171,5.79445702313688,0.4759307616539532
0xcf62F905562626CfcDD2261162a51fd02Fc9c5b6,1.1337116737738944,1.139019465160843,6.059347993384634,5.1986021938467015,5.700070099920983,0.4681782422933045
0x182863131F9a4630fF9E27830d945B1413e347E8,1.0479480801672387,1.0520627984916893,5.059446155553782,4.2800536288920314,4.780455878328609,0.3926452466799679
0xd57aEa3686d623dA2dCEbc87010a4F2F38Ac7B15,1.0479480801672387,1.0520627984916893,5.059446155553782,4.2800536288920314,4.780455878328609,0.3926452466799679
0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,1.17327765,1.1778014,4.966166773008829,1.605100167501557,4.694255980244897,0.38556517291539194
0xEeA3Edc017877C603E2F332FC1828a46432cdF96,0.9994219649799112,1.0025649688687774,4.033870355576097,5.777443418325634,3.8288204269870776,0.3144821705944212
0x83F20F44975D03b1b09e64809B757c47f942BEeA,1.15875621,1.16000759,1.3687062757326451,0.04066335132175136,1.3148194045062263,0.10799338024691796
0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0.99885366,0.99965236,1.011785209033711,1.6332765903810293,0.9735332501059891,0.07996166325305865
0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0.99954093,1.00029996,0.9606461694465995,-0.1792778120494423,0.9245434551640546,0.07593786079376219
0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,0.99926542,0.99949722,0.2925559511249398,-2.541188681688957,0.28242396299485273,0.02319704008171275
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0.99983993,0.9999531,0.14265206717603007,0.11563570008658677,0.13780653369188045,0.01131881180220784
0xdC035D45d973E3EC169d2276DDab16f1e407384F,0.99967187,0.99971349,0.0524495369493172,0.07108855009237651,0.050688982575776136,0.004163366125320422
0x6B175474E89094C44Da98b954EedeAC495271d0F,0.99989418,0.99989006,-0.005189494163715391,-0.03465015078868229,-0.00501663085981735,-0.0004120436024490637
0xCAcd6fd266aF91b8AeD52aCCc382b4e165586E29,0.99979501,0.99934869,-0.560794776653073,0.6962431931161821,-0.5435060132976971,-0.04464115098954391
0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,2793.8695452268576,2579.07857796901,-63.48795360817627,45.44796057219003,-93.60064899350752,-7.687938315688503
0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,2762.06172414,2549.46177668,-63.53380052248585,52.8730901163831,-93.71276310385241,-7.697146866846194
0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,2811.08678022,2594.22818553,-63.61957712982145,41.47672155306563,-93.92287029090299,-7.714404130669649
0xae78736Cd615f374D3085123A210448E74Fc6393,2993.26406461,2760.70080721,-63.89245212118253,40.791151208199416,-94.59431569442611,-7.76955365046621
0xac3E018457B222d93114458476f3E3416Abbe38F,2958.02046315,2725.13017751,-64.40009777622548,17.699592572862123,-95.85597067329061,-7.8731803427754095
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2632.14591997,2424.54587916,-64.4677955072134,42.73683609688064,-96.02547023268966,-7.887102277838986
0x04C154b66CB340F3Ae24111CC767e0184Ed00Cc6,2627.57720663,2419.31782333,-64.65587548804865,39.68514948915233,-96.49794439073715,-7.925909190204283
0x5E8422345238F34275888049021821E8E08CAa1f,2630.57667809,2421.33167346,-64.79308339426979,38.25239001902173,-96.8440856557724,-7.9543396842523535
0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,2751.38962833,2527.75530317,-65.6208285174431,26.574098943220868,-98.95900895997846,-8.128050017246691
